code,location,mon_plith,astikotita,orinotita,ekt
1110101,ΔΗΜΟΣ ΚΟΜΟΤΗΝΗΣ,66919,,,646.617
111010101,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΚΟΜΟΤΗΝΗΣ,60648,,1.0,385.587
11101010101,Δημοτική Κοινότητα Κομοτηνής,54272,True,0.0,66.855
1110101010101,"Κομοτηνή,η",50990,,,
1110101010102,"Ήφαιστος,ο",1706,,,
1110101010103,"Μέγα Κρανοβούνιον,το",149,,,
1110101010104,"Μεσοχώριον,το",119,,,
1110101010105,"Μικρόν Κρανοβούνιον,το",159,,,
1110101010106,"Παραδημή,η",434,,,
1110101010107,"Σχολή Αστυνομίας,η",335,,,
1110101010108,"Υφανταί,οι",380,,,
11101010102,Τοπική Κοινότητα Ανθοχωρίου,82,False,0.0,15.207
1110101010201,"Ανθοχώριον,το",82,,,
11101010103,Τοπική Κοινότητα Γρατίνης,365,False,0.0,13.879
1110101010301,"Γρατινή,η",365,,,
11101010104,Τοπική Κοινότητα Θρυλορίου,1910,False,0.0,26.754
1110101010401,"Θρυλόριον,το",620,,,
1110101010402,"Ροδίτης,ο",1018,,,
1110101010403,"Φύλακας,ο",272,,,
11101010105,Τοπική Κοινότητα Ιτέας,77,False,0.0,4.577
1110101010501,"Ιτέα,η",77,,,
11101010106,Τοπική Κοινότητα Κάλχαντος,1160,False,2.0,114.992
1110101010601,"Κάλχας,ο",634,,,
1110101010602,"Ιάμπολις,η",173,,,
1110101010603,"Μεγάλη Άδα,η",9,,,
1110101010604,"Μύτικας,ο",5,,,
1110101010605,"Σαρακηνή,η",40,,,
1110101010606,"Τυχηρόν,το",299,,,
11101010107,Τοπική Κοινότητα Καρυδιάς,357,False,0.0,9.674
1110101010701,"Καρυδιά,η",357,,,
11101010108,Τοπική Κοινότητα Κηκιδίου,610,False,0.0,3.018
1110101010801,"Κηκίδιον,το",610,,,
11101010109,Τοπική Κοινότητα Κοσμίου,922,False,0.0,23.031
1110101010901,"Κόσμιον,το",922,,,
11101010110,Τοπική Κοινότητα Πανδρόσου,394,False,2.0,86.677
1110101011001,"Πάνδροσος,η",115,,,
1110101011002,"Νυμφαία,η",35,,,
1110101011003,"Σύμβολα,τα",244,,,
11101010111,Τοπική Κοινότητα Σιδηράδων,199,False,0.0,14.592
1110101011101,"Σιδηράδες,οι",199,,,
11101010112,Τοπική Κοινότητα Στυλάριου,300,False,0.0,6.331
1110101011201,"Στυλάριον,το",300,,,
111010102,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΑΙΓΕΙΡΟΥ,3493,,0.0,139.072
11101010201,Τοπική Κοινότητα Αιγείρου,1207,False,0.0,29.358
1110101020101,"Αίγειρος,η",924,,,
1110101020102,"Αγροτικόν Ορφανοτροφείον,το",45,,,
1110101020103,"Μεσσούνη,η",238,,,
11101010202,Τοπική Κοινότητα Αρωγής,9,False,0.0,4.1
1110101020201,"Αρωγή,η",9,,,
11101010203,Τοπική Κοινότητα Γλυφάδας,136,False,0.0,21.857
1110101020301,"Γλυφάδα,η",136,,,
11101010204,Τοπική Κοινότητα Καλλίστης,122,False,0.0,4.282
1110101020401,"Καλλίστη,η",122,,,
11101010205,Τοπική Κοινότητα Μελέτης,497,False,0.0,4.785
1110101020501,"Μελέτη,η",497,,,
11101010206,Τοπική Κοινότητα Μέσης,183,False,0.0,11.599
1110101020601,"Μέση,η",183,,,
11101010207,Τοπική Κοινότητα Νέας Καλλίστης,391,False,0.0,15.872
1110101020701,"Νέα Καλλίστη,η",391,,,
11101010208,Τοπική Κοινότητα Παραλίας Μέσης,6,False,0.0,7.923
1110101020801,"Παραλία Μέσης,η",6,,,
11101010209,Τοπική Κοινότητα Πόρπης,452,False,0.0,25.327
1110101020901,"Πόρπη,η",452,,,
11101010210,Τοπική Κοινότητα Φαναρίου,490,False,0.0,13.969
1110101021001,"Φανάριον,το",490,,,
111010103,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΝΕΟΥ ΣΙΔΗΡΟΧΩΡΙΟΥ,2778,,0.0,121.958
11101010301,Τοπική Κοινότητα Νέου Σιδηροχωρίου,1327,False,0.0,48.112
1110101030101,"Νέον Σιδηροχώριον,το",567,,,
1110101030102,"Αδριανή,η",144,,,
1110101030103,"Καλαμόκαστρον,το",342,,,
1110101030104,"Μαυρομμάτιον,το",137,,,
1110101030105,"Μικρόν Δουκάτον,το",137,,,
11101010302,Τοπική Κοινότητα Αγίων Θεοδώρων,491,False,0.0,12.431
1110101030201,"Άγιοι Θεόδωροι,οι",491,,,
11101010303,Τοπική Κοινότητα Μεγάλου Δουκάτου,418,False,0.0,14.06
1110101030301,"Μέγα Δουκάτον,το",418,,,
11101010304,Τοπική Κοινότητα Παγουρίων,542,False,0.0,47.355
1110101030401,"Παγούρια,τα",542,,,
1110102,ΔΗΜΟΣ ΑΡΡΙΑΝΩΝ,16577,,,773.156
111010201,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΦΙΛΛΥΡΑΣ,7583,,1.0,235.818
11101020101,Τοπική Κοινότητα Φιλλύρας,909,False,0.0,9.307
