asciiName,adminId2,adminId3,adminId1,lat,adminCode2,adminCode3,adminCode1,lng,toponymName,population,adminName3,adminName2,name,adminName1,elevation,greek_name,nomos
Thivai,251851.0,8133908.0,6697800.0,38.325,33.0,9144.0,ESYE24,23.31889,Thívai,36477,Thebes,ΒΟΙΩΤΙΑΣ,Thebes,Central Greece,,Θήβα,ΒΟΙΩΤΙΑΣ
Delphi,262322.0,8133744.0,6697800.0,38.47942,32.0,9165.0,ESYE24,22.49357,Delphi,2373,Delphi,ΦΘΙΩΤΙΔΑΣ,Delphi,Central Greece,,Δελφοί,ΦΘΙΩΤΙΔΑΣ
Dafnochori,262322.0,8133745.0,6697800.0,38.41661,32.0,9166.0,ESYE24,22.09908,Dafnochóri,9,Dorida,ΦΘΙΩΤΙΔΑΣ,Dafnochori,Central Greece,,Δαφνοχώρι,ΦΘΙΩΤΙΔΑΣ
Ayios Thomas,251851.0,8133914.0,6697800.0,38.27717,33.0,9147.0,ESYE24,23.58906,Áyios Thomás,1292,Tanagra,ΒΟΙΩΤΙΑΣ,Agios Thomas,Central Greece,,Άγιος Θωμάς,ΒΟΙΩΤΙΑΣ
Avlonas,445406.0,8133773.0,6692632.0,38.25149,98.0,9227.0,ESYE31,23.69554,Avlónas,5744,Oropos,ΑΤΤΙΚΗΣ,Avlonas,ΑΤΤΙΚΗΣ,,Αυλώνας,ΑΤΤΙΚΗΣ
Arachova,251851.0,8133907.0,6697800.0,38.47958,33.0,9143.0,ESYE24,22.5835,Aráchova,2657,Distomo-Arachova-Antikyra,ΒΟΙΩΤΙΑΣ,Arachova,Central Greece,,Αράχοβα,ΒΟΙΩΤΙΑΣ
Anoixi,445406.0,8133921.0,6692632.0,38.13267,98.0,9217.0,ESYE31,23.85874,Anoixi,6510,Dionysos,ΑΤΤΙΚΗΣ,Anoixi,ΑΤΤΙΚΗΣ,,Άνοιξη,ΑΤΤΙΚΗΣ
Antirrio,265508.0,8133707.0,6697810.0,38.33014,31.0,9128.0,ESYE23,21.76413,Antirrio,1018,Nafpaktia,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,Antirrio,West Greece,,Αντίρριο,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ
Amfikleia,262187.0,8133732.0,6697800.0,38.63912,29.0,9158.0,ESYE24,22.59171,Amfíkleia,3012,Amfikleia-Elateia,ΦΘΙΩΤΙΔΑΣ,Amfiklia,Central Greece,,Αμφίκλεια,ΦΘΙΩΤΙΔΑΣ
Aidipsos,262564.0,8133903.0,6697800.0,38.87924,34.0,9150.0,ESYE24,23.04691,Aidipsós,1249,Istiaia-Aidipsos,ΕΥΒΟΙΑΣ,Edipsos,Central Greece,,Αιδηψός,ΕΥΒΟΙΑΣ
Afidnes,445406.0,8133773.0,6692632.0,38.20332,98.0,9227.0,ESYE31,23.83982,Afidnés,1908,Oropos,ΑΤΤΙΚΗΣ,Afidnes,ΑΤΤΙΚΗΣ,,Αφίδνες,ΑΤΤΙΚΗΣ
Sikyon,259290.0,8133675.0,6697807.0,37.9823,37.0,9247.0,ESYE25,22.72462,Sikyón,1185,Sikyona,ΚΟΡΙΝΘΙΑΣ,Sicyon,Peloponnese,,Σικυώνα,ΚΟΡΙΝΘΙΑΣ
Royitika,265491.0,8133690.0,6697810.0,38.18268,38.0,9134.0,ESYE23,21.68414,Royítika,1288,Patras,ΑΧΑΪΑΣ,Roitika,West Greece,,Ρογίτικα,ΑΧΑΪΑΣ
Rododafni,265491.0,8133669.0,6697810.0,38.26976,38.0,9130.0,ESYE23,22.04875,Rododáfni,2564,Aigialeia,ΑΧΑΪΑΣ,Rododafni,West Greece,,Ροδοδάφνη,ΑΧΑΪΑΣ
Rio,265491.0,8133690.0,6697810.0,38.29558,38.0,9134.0,ESYE23,21.78504,Río,4664,Patras,ΑΧΑΪΑΣ,Rio,West Greece,,Ρίο,ΑΧΑΪΑΣ
Pteleos,258013.0,8133791.0,6697809.0,39.05261,24.0,9104.0,ESYE14,22.95271,Pteleós,1140,Almyros,ΜΑΓΝΗΣΙΑΣ,Pteleos,Thessaly,,Πτελεός,ΜΑΓΝΗΣΙΑΣ
Polydendri,445406.0,8133773.0,6692632.0,38.216,98.0,9227.0,ESYE31,23.86806,Polydéndri,1385,Oropos,ΑΤΤΙΚΗΣ,Polydendri,ΑΤΤΙΚΗΣ,,Πολυδένδρι,ΑΤΤΙΚΗΣ
Pikermi,445406.0,8133686.0,6692632.0,38.00161,98.0,9224.0,ESYE31,23.94075,Pikérmi,2009,Rafina-Pikermi,ΑΤΤΙΚΗΣ,Pikermi,ΑΤΤΙΚΗΣ,,Πικέρμι,ΑΤΤΙΚΗΣ
Periyiali,259290.0,8133673.0,6697807.0,37.94041,37.0,9243.0,ESYE25,22.83946,Periyiáli,1616,Corinth,ΚΟΡΙΝΘΙΑΣ,Perigiali,Peloponnese,,Περιγιάλι,ΚΟΡΙΝΘΙΑΣ
Pelasgia,262187.0,8133765.0,6697800.0,38.94813,29.0,9164.0,ESYE24,22.8398,Pelasgía,1497,Stylida,ΦΘΙΩΤΙΔΑΣ,Pelasgia,Central Greece,,Πελασγία,ΦΘΙΩΤΙΔΑΣ
Paralia Avlidhos,262564.0,8133729.0,6697800.0,38.38002,34.0,9155.0,ESYE24,23.62842,Paralía Avlídhos,3115,Chalcis,ΕΥΒΟΙΑΣ,Paralia Avlidos,Central Greece,,Παραλία Αυλίδος,ΕΥΒΟΙΑΣ
Paralia,265491.0,8133690.0,6697810.0,38.19833,38.0,9134.0,ESYE23,21.70263,Paralía,6336,Patras,ΑΧΑΪΑΣ,Paralia,West Greece,,Παραλία,ΑΧΑΪΑΣ
Pappadhatai,265508.0,8133845.0,6697810.0,38.52816,31.0,9123.0,ESYE23,21.45016,Pappadhátai,1077,Agrinio,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,Papadates,West Greece,,Παπαδάτες,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ
Pallini,445406.0,8133685.0,6692632.0,38.00514,98.0,9223.0,ESYE31,23.88302,Pallíni,14808,Pallini,ΑΤΤΙΚΗΣ,Pallini,ΑΤΤΙΚΗΣ,,Παλλήνη,ΑΤΤΙΚΗΣ
Orchomenos,251851.0,8133910.0,6697800.0,38.4929,33.0,9146.0,ESYE24,22.97962,Orchomenós,5919,Orchomenos,ΒΟΙΩΤΙΑΣ,Orchomenos,Central Greece,,Ορχομενός,ΒΟΙΩΤΙΑΣ
Oinofyta,251851.0,8133914.0,6697800.0,38.31163,33.0,9147.0,ESYE24,23.64,Oinófyta,2927,Tanagra,ΒΟΙΩΤΙΑΣ,Oinofyta,Central Greece,,Οινόφυτα,ΒΟΙΩΤΙΑΣ
Papagou,445408.0,8133839.0,6692632.0,37.98642,99.0,9175.0,ESYE31,23.79347,Papágou,13699,Papagou-Cholargos,ΑΘΗΝΩΝ,Papagou,ΑΤΤΙΚΗΣ,,Παπάγου,ΑΘΗΝΩΝ
Nea Makri,445406.0,8133924.0,6692632.0,38.08733,98.0,9220.0,ESYE31,23.97642,Néa Mákri,15554,Marathon,ΑΤΤΙΚΗΣ,Nea Makri,ΑΤΤΙΚΗΣ,,Νέα Μάκρη,ΑΤΤΙΚΗΣ
Nea Erythraia,445408.0,8133694.0,6692632.0,38.0927,99.0,9171.0,ESYE31,23.82223,Néa Erythraía,17379,Kifisia,ΑΘΗΝΩΝ,Néa Erythraía,ΑΤΤΙΚΗΣ,,Νέα Ερυθραία,ΑΘΗΝΩΝ
Mantoudi,262564.0,8133906.0,6697800.0,38.79808,34.0,9153.0,ESYE24,23.47967,Mantoúdi,1794,Mantoudi-Limni-Agia Anna,ΕΥΒΟΙΑΣ,Mantoúdi,Central Greece,,Μαντούδι,ΕΥΒΟΙΑΣ
Artemida,445406.0,8133772.0,6692632.0,37.96727,98.0,9226.0,ESYE31,23.99684,Artémida,21488,Spata-Artemida,ΑΤΤΙΚΗΣ,Artémida,ΑΤΤΙΚΗΣ,,Αρτέμιδα,ΑΤΤΙΚΗΣ
Livanates,262187.0,8133739.0,6697800.0,38.711,29.0,9161.0,ESYE24,23.0503,Livanátes,2559,Lokroi,ΦΘΙΩΤΙΔΑΣ,Livanates,Central Greece,,Λιβανάτες,ΦΘΙΩΤΙΔΑΣ
Akrai,265508.0,8133845.0,6697810.0,38.50563,31.0,9123.0,ESYE23,21.58775,Ákrai,55,Agrinio,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,Akres,West Greece,,Άκρες,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ
Lykovrysi,445408.0,8133776.0,6692632.0,38.06933,99.0,9172.0,ESYE31,23.78223,Lykóvrysi,9650,Lykovrysi-Pefki,ΑΘΗΝΩΝ,Lykóvrysi,ΑΤΤΙΚΗΣ,,Λυκόβρυση,ΑΘΗΝΩΝ
Leondarion,445406.0,8133685.0,6692632.0,37.987,98.0,9223.0,ESYE31,23.85518,Leondárion,5929,Pallini,ΑΤΤΙΚΗΣ,Leontario,ΑΤΤΙΚΗΣ,,Λεοντάριο,ΑΤΤΙΚΗΣ
Krionerion,259290.0,8133675.0,6697807.0,37.96308,37.0,9247.0,ESYE25,22.63638,Krionérion,868,Sikyona,ΚΟΡΙΝΘΙΑΣ,Kryoneri,Peloponnese,740.0,Κρυονέρι,ΚΟΡΙΝΘΙΑΣ
Kymi,262564.0,8133905.0,6697800.0,38.63477,34.0,9152.0,ESYE24,24.10287,Kými,2979,Kymi-Aliveri,ΕΥΒΟΙΑΣ,Kými,Central Greece,,Κύμη,ΕΥΒΟΙΑΣ
Kamateron,445408.0,8133819.0,6692632.0,38.05586,99.0,9180.0,ESYE31,23.70515,Kamaterón,28361,Agioi Anargyroi-Kamatero,ΑΘΗΝΩΝ,Kamatero,ΑΤΤΙΚΗΣ,,Καματερό,ΑΘΗΝΩΝ
Tithronio,262187.0,8133732.0,6697800.0,38.71286,29.0,9158.0,ESYE24,22.58141,Tithrónio,101,Amfikleia-Elateia,ΦΘΙΩΤΙΔΑΣ,Tithronio,Central Greece,,Τιθρώνιο,ΦΘΙΩΤΙΔΑΣ
Fyli,264353.0,8133808.0,6692632.0,38.10235,35.0,9232.0,ESYE31,23.66901,Fylí,2937,Fyli,ΑΤΤΙΚΗΣ,Fyli,ΑΤΤΙΚΗΣ,,Φυλή,ΑΤΤΙΚΗΣ
Erythres,264353.0,8133884.0,6692632.0,38.21741,35.0,9230.0,ESYE31,23.32234,Erythrés,2862,Mandra-Eidyllia,ΑΤΤΙΚΗΣ,Erythres,ΑΤΤΙΚΗΣ,,Ερυθρές,ΑΤΤΙΚΗΣ
Dhrosia,262564.0,8133729.0,6697800.0,38.48413,34.0,9155.0,ESYE24,23.54774,Dhrosiá,5020,Chalcis,ΕΥΒΟΙΑΣ,Drosia,Central Greece,,Δροσιά,ΕΥΒΟΙΑΣ
Vrachnaiika,265491.0,8133690.0,6697810.0,38.16253,38.0,9134.0,ESYE23,21.66693,Vrachnaíika,2571,Patras,ΑΧΑΪΑΣ,Vrachneika,West Greece,,Βραχναίικα,ΑΧΑΪΑΣ
Aktaio,265491.0,8133690.0,6697810.0,38.30444,38.0,9134.0,ESYE23,21.7944,Aktaío,1494,Patras,ΑΧΑΪΑΣ,Aktaio,West Greece,,Ακταίο,ΑΧΑΪΑΣ
Velo,259290.0,8133799.0,6697807.0,37.9761,37.0,9242.0,ESYE25,22.75985,Vélo,3096,Velo-Vocha,ΚΟΡΙΝΘΙΑΣ,Velo,Peloponnese,,Βέλο,ΚΟΡΙΝΘΙΑΣ
Thespies,251851.0,8133875.0,6697800.0,38.303,33.0,9142.0,ESYE24,23.15016,Thespiés,1437,Aliartos-Thespiae,ΒΟΙΩΤΙΑΣ,Thespiae,Central Greece,,Θεσπιές,ΒΟΙΩΤΙΑΣ
Thermopilai,262187.0,8133738.0,6697800.0,38.79945,29.0,9160.0,ESYE24,22.5453,Thermopílai,295,Lamia,ΦΘΙΩΤΙΔΑΣ,Thermopylae,Central Greece,,Θερμοπύλες,ΦΘΙΩΤΙΔΑΣ
Tavros,445408.0,8133676.0,6692632.0,37.97064,99.0,9199.0,ESYE31,23.69043,Távros,14972,Moschato-Tavros,ΑΘΗΝΩΝ,Tavros,ΑΤΤΙΚΗΣ,,Ταύρος,ΑΘΗΝΩΝ
Skiathos,258013.0,8133939.0,6697809.0,39.16227,24.0,9110.0,ESYE14,23.49089,Skiáthos,5187,Skiathos,ΜΑΓΝΗΣΙΑΣ,Skiathos,Thessaly,,Σκιάθος,ΜΑΓΝΗΣΙΑΣ
Skarmagkas,445408.0,8133972.0,6692632.0,38.01133,99.0,9185.0,ESYE31,23.60303,Skarmagkás,1255,Chaidari,ΑΘΗΝΩΝ,Skaramagkas,ΑΤΤΙΚΗΣ,,Σκαραμαγκάς,ΑΘΗΝΩΝ
Anthousa,445406.0,8133685.0,6692632.0,38.02544,98.0,9223.0,ESYE31,23.87617,Anthoúsa,2132,Pallini,ΑΤΤΙΚΗΣ,Anthousa,ΑΤΤΙΚΗΣ,,Ανθούσα,ΑΤΤΙΚΗΣ
