,desc,iure11,facto11,iure01,facto01,iure91,facto91,perifereia,nomos,dimos,dimenot,koinot,kath,article_kath,article_dim,lat,long,elev,mean_temp
0,Κομοτηνή,50990,50450,44421,43326,38532,37036,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Κομοτηνής,Κομοτηνή,η,η,,,,
1,Ήφαιστος,1706,1707,1505,1519,1263,1285,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Κομοτηνής,Ήφαιστος,ο,ο,41.13019,25.38395,,
2,Μέγα Κρανβύνι,149,153,223,227,296,302,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Κομοτηνής,Μέγα Κρανοβούνιον,το,το,,,,
3,Μεσχώρι,119,119,161,161,151,154,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Κομοτηνής,Μεσοχώριον,το,το,,,,
4,Μικρ Κρανβύνι,159,161,199,198,215,227,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Κομοτηνής,Μικρόν Κρανοβούνιον,το,το,,,,
5,Παραδημή,434,433,554,551,575,581,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Κομοτηνής,Παραδημή,η,η,41.07822,25.33288,,
6,Σχολή Αστυνομίας,335,333,281,274,0,0,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Κομοτηνής,Σχολή Αστυνομίας,η,η,41.10568,25.33018,,
7,Υφαντές,380,378,330,330,347,342,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Κομοτηνής,Υφανταί,οι,οι,,,,
8,Ανθχώρι,82,79,140,142,127,127,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Ανθοχωρίου,Ανθοχώριον,το,το,,,,
9,Γρατινή,365,362,525,533,593,587,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Γρατίνης,Γρατινή,η,η,41.14352,25.53142,,
10,Θρυλρι,620,622,616,629,542,560,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Θρυλορίου,Θρυλόριον,το,το,,,,
11,Ροδίτης,1018,1112,748,753,591,637,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Θρυλορίου,Ροδίτης,ο,ο,41.09921,25.45489,,
12,Φύλακας,272,271,269,269,264,263,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Θρυλορίου,Φύλακας,ο,ο,41.0567,25.47687,,
13,Ιτέα,77,77,71,71,70,70,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Ιτέας,Ιτέα,η,η,41.09365,25.37533,,
14,Κάλχας,634,604,644,643,642,635,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Κάλχαντος,Κάλχας,ο,ο,41.14031,25.46459,,
15,Ιάμπολιδα,173,165,145,145,158,158,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Κάλχαντος,Ιάμπολις,η,η,,,,
16,Μεγάλη Άδα,9,9,9,9,25,25,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Κάλχαντος,Μεγάλη Άδα,η,η,41.23363,25.53556,,
17,Μύτικας,5,5,6,6,36,35,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Κάλχαντος,Μύτικας,ο,ο,,,,
18,Σαρακηνή,40,39,78,78,187,187,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Κάλχαντος,Σαρακηνή,η,η,41.28815,25.55199,,
19,Τυχηρό,299,300,302,302,335,335,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Κάλχαντος,Τυχηρόν,το,το,41.16817,25.4639,,
20,Καρυδιά,357,365,245,245,215,220,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Καρυδιάς,Καρυδιά,η,η,41.14508,25.43726,,
21,Κηκίδι,610,605,425,424,389,388,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Κηκιδίου,Κηκίδιον,το,το,41.10739,25.43199,,
22,Κσμι,922,917,912,914,906,889,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Κοσμίου,Κόσμιον,το,το,,,,
23,Πάνδροσος,115,114,126,125,123,138,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Πανδρόσου,Πάνδροσος,η,η,41.17685,25.44219,,
24,Νυμφαία,35,35,70,70,100,100,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Πανδρόσου,Νυμφαία,η,η,41.22221,25.45173,,
25,Σύμβολα,244,234,243,248,220,219,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Πανδρόσου,Σύμβολα,τα,τα,41.17518,25.41043,,
26,Σιδηράδες,199,199,167,167,144,144,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Σιδηράδων,Σιδηράδες,οι,οι,,,,
27,Στυλάρι,300,301,304,300,290,290,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Στυλάριου,Στυλάριον,το,το,41.14427,25.50342,,
28,Αίγειρος,924,926,1123,1111,1045,1079,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΑΙΓΕΙΡΟΥ,Αιγείρου,Αίγειρος,η,η,41.08752,25.28555,,
29,Αγροτικό Ορφανοτροφείο,45,45,61,61,49,49,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΑΙΓΕΙΡΟΥ,Αιγείρου,Αγροτικόν Ορφανοτροφείον,το,το,,,,
30,Μεσσούνη,238,241,356,369,392,399,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΑΙΓΕΙΡΟΥ,Αιγείρου,Μεσσούνη,η,η,41.09155,25.2983,,
31,Αρωγή,9,13,177,223,21,36,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΑΙΓΕΙΡΟΥ,Αρωγής,Αρωγή,η,η,40.95533,25.17052,,
32,Γλυφάδα,136,135,166,170,209,215,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΑΙΓΕΙΡΟΥ,Γλυφάδας,Γλυφάδα,η,η,40.97731,25.22916,,
33,Καλλίστη,122,122,167,179,145,143,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΑΙΓΕΙΡΟΥ,Καλλίστης,Καλλίστη,η,η,,,,
34,Μελέτη,497,499,646,626,611,605,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΑΙΓΕΙΡΟΥ,Μελέτης,Μελέτη,η,η,41.11355,25.29965,,
35,Μέση,183,181,313,317,332,348,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΑΙΓΕΙΡΟΥ,Μέσης,Μέση,η,η,40.98199,25.21085,,
36,Νέα Καλλίστη,391,391,459,461,588,592,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΑΙΓΕΙΡΟΥ,Νέας Καλλίστης,Νέα Καλλίστη,η,η,41.03624,25.2133,,
37,Παραλία Μέσης,6,6,16,31,10,48,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΑΙΓΕΙΡΟΥ,Παραλίας Μέσης,Παραλία Μέσης,η,η,,,,
38,Πόρπη,452,450,447,448,415,441,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΑΙΓΕΙΡΟΥ,Πόρπης,Πόρπη,η,η,41.01863,25.23882,,
39,Φανάρι,490,482,397,422,517,527,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΑΙΓΕΙΡΟΥ,Φαναρίου,Φανάριον,το,το,40.96112,25.13304,,
40,Νέ Σιδηρχώρι,567,555,856,891,849,864,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΝΕΟΥ ΣΙΔΗΡΟΧΩΡΙΟΥ,Νέου Σιδηροχωρίου,Νέον Σιδηροχώριον,το,το,,,,
41,Αδριανή,144,141,243,247,297,299,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΝΕΟΥ ΣΙΔΗΡΟΧΩΡΙΟΥ,Νέου Σιδηροχωρίου,Αδριανή,η,η,41.01083,25.36909,,
42,Καλαμόκαστρο,342,341,360,365,368,371,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΝΕΟΥ ΣΙΔΗΡΟΧΩΡΙΟΥ,Νέου Σιδηροχωρίου,Καλαμόκαστρον,το,το,41.04922,25.35781,,
43,Μαυρμμάτι,137,135,130,133,136,136,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΝΕΟΥ ΣΙΔΗΡΟΧΩΡΙΟΥ,Νέου Σιδηροχωρίου,Μαυρομμάτιον,το,το,,,,
44,Μικρό Δουκάτο,137,137,193,182,187,187,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΝΕΟΥ ΣΙΔΗΡΟΧΩΡΙΟΥ,Νέου Σιδηροχωρίου,Μικρόν Δουκάτον,το,το,41.0375,25.40815,,
45,Άγιοι Θεόδωροι,491,493,554,556,568,564,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΝΕΟΥ ΣΙΔΗΡΟΧΩΡΙΟΥ,Αγίων Θεοδώρων,Άγιοι Θεόδωροι,οι,οι,41.04295,25.40417,,
46,Μέγα Δουκάτο,418,418,415,415,471,472,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΝΕΟΥ ΣΙΔΗΡΟΧΩΡΙΟΥ,Μεγάλου Δουκάτου,Μέγα Δουκάτον,το,το,41.04949,25.41355,,
47,Παγούρια,542,530,703,708,429,434,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΝΕΟΥ ΣΙΔΗΡΟΧΩΡΙΟΥ,Παγουρίων,Παγούρια,τα,τα,41.02801,25.31809,,
48,Φιλλύρα,909,893,1041,1032,1010,988,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΑΡΡΙΑΝΩΝ,ΦΙΛΛΥΡΑΣ,Φιλλύρας,Φιλλύρα,η,η,,,,
49,Άγρα,197,197,298,300,265,267,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΑΡΡΙΑΝΩΝ,ΦΙΛΛΥΡΑΣ,Άγρας,Άγρα,η,η,,,,
50,Άνω Δροσινή,106,104,119,119,156,160,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΑΡΡΙΑΝΩΝ,ΦΙΛΛΥΡΑΣ,Άνω Δροσίνης,Άνω Δροσινή,η,η,41.1936,25.59001,,
