,code,desc,iure11,facto11,iure01,facto01,iure91,facto91,perifereia,nomos,dimos,dimenot,koinot,kath,article_kath,article_dim,lat,long,elev,astikotita,orinotita
0,1110101010101,Κομοτηνή,50990,50450,44421,43326,38532,37036,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Κομοτηνής,Κομοτηνή,η,η,,,,True,0.0
1,1110101010102,Ήφαιστος,1706,1707,1505,1519,1263,1285,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Κομοτηνής,Ήφαιστος,ο,ο,41.13019,25.38395,,True,0.0
2,1110101010103,Μέγα Κρανοβούνι,149,153,223,227,296,302,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Κομοτηνής,Μέγα Κρανοβούνιον,το,το,41.06083,25.33409,,True,0.0
3,1110101010104,Μεσοχώρι,119,119,161,161,151,154,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Κομοτηνής,Μεσοχώριον,το,το,41.09327,25.35536,,True,0.0
4,1110101010105,Μικρό Κρανοβούνι,159,161,199,198,215,227,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Κομοτηνής,Μικρόν Κρανοβούνιον,το,το,41.0528,25.33312,,True,0.0
5,1110101010106,Παραδημή,434,433,554,551,575,581,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Κομοτηνής,Παραδημή,η,η,41.07822,25.33288,,True,0.0
6,1110101010107,Σχολή Αστυνομίας,335,333,281,274,0,0,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Κομοτηνής,Σχολή Αστυνομίας,η,η,41.10568,25.33018,,True,0.0
7,1110101010108,Υφαντές,380,378,330,330,347,342,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Κομοτηνής,Υφανταί,οι,οι,41.11702,25.36018,,True,0.0
8,1110101010201,Ανθοχώρι,82,79,140,142,127,127,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Ανθοχωρίου,Ανθοχώριον,το,το,41.08534,25.53789,,False,0.0
9,1110101010301,Γρατινή,365,362,525,533,593,587,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Γρατίνης,Γρατινή,η,η,41.14352,25.53142,,False,0.0
