FID,id,onoma,the_geom
4f097ff9-4fbb-4411-86f3-1e7e621df61a.0,1,"Δασκαλογιάννης CHQ Χανιά, Σούδα",POINT (24.143798924743965 35.53415290677425)
4f097ff9-4fbb-4411-86f3-1e7e621df61a.1,2,Μάλεμε,POINT (23.831120455376972 35.531347366877085)
4f097ff9-4fbb-4411-86f3-1e7e621df61a.2,3,"Τυμπάκι LG54
",POINT (24.750704855556986 35.06844260400824)
4f097ff9-4fbb-4411-86f3-1e7e621df61a.3,4,Νίκος Καζαντζάκης LGIR HER Ηράκλειο,POINT (25.180072792747488 35.33958652467782)
4f097ff9-4fbb-4411-86f3-1e7e621df61a.4,5,"Καστέλι LGTL
",POINT (25.327218623228234 35.19227139085189)
4f097ff9-4fbb-4411-86f3-1e7e621df61a.5,6,Σητεία LGST JSH,POINT (26.10038906960766 35.215856450186834)
4f097ff9-4fbb-4411-86f3-1e7e621df61a.6,7,Δωδεκανήσου-Κάσος- ΔΑΚΑ LGKS/KSJ-2245041587,POINT (26.911039330621758 35.42143104077241)
4f097ff9-4fbb-4411-86f3-1e7e621df61a.7,8,Δωδεκανήσου-Κάρπαθος-ΚΑΚΠ LGKP/AOK-2245091120,POINT (27.145291383647994 35.42122177193355)
4f097ff9-4fbb-4411-86f3-1e7e621df61a.8,9,"Διαγόρας LGRP RHO Παραδείσι, Ρόδου",POINT (28.08954132635042 36.4061989563827)
4f097ff9-4fbb-4411-86f3-1e7e621df61a.9,10,Μαρίτσα LGRD Ρόδος,POINT (28.112268038395964 36.38346089220786)
4f097ff9-4fbb-4411-86f3-1e7e621df61a.10,11,Καστελορίζου LGKJ KZSΜεγίστη,POINT (29.576253491117892 36.14167629853589)
4f097ff9-4fbb-4411-86f3-1e7e621df61a.11,12,Κυθήρων LGKC KIT,POINT (23.015989050384263 36.27540570083946)
4f097ff9-4fbb-4411-86f3-1e7e621df61a.12,13,Σπάρτη LGSP SPJ,POINT (22.52542590878487 36.97369481648634)
4f097ff9-4fbb-4411-86f3-1e7e621df61a.13,14,Καλαμάτα LGKL KLX,POINT (22.025386884698353 37.068235160622216)
4f097ff9-4fbb-4411-86f3-1e7e621df61a.14,15,Τρίοδο LG55 Καλαμάτα,POINT (21.99035950027987 37.094909048004524)
4f097ff9-4fbb-4411-86f3-1e7e621df61a.15,16,Αλεξακης LGHL PKH Πορτο Χέλι,POINT (23.149460332189765 37.29863208881922)
4f097ff9-4fbb-4411-86f3-1e7e621df61a.16,17,Τριπολίς LGTP,POINT (22.40274018302859 37.52904331014059)
4f097ff9-4fbb-4411-86f3-1e7e621df61a.17,18,Επιταλιον LGEP,POINT (21.49328650411298 37.615728714679065)
